Effective Date,Approved,Update Comment,Varh,Whe,Whr,Tipo,Modified On,Modified By,Approved On,Approved By,Created On,Created By
05/01/2025 300 CST.MX,true, ,12.59,"91,182.12",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 400 CST.MX,true, ,21.902,"91,770.91",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 500 CST.MX,true, ,3.986,"74,380.45",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 600 CST.MX,true, ,0,"59,070.78",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 700 CST.MX,true, ,0,"59,047.31",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 800 CST.MX,true, ,68.922,"63,199.81",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 900 CST.MX,true, ,"1,454.78","70,034.23",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1000 CST.MX,true, ,"1,584.96","77,075.71",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1100 CST.MX,true, ,"4,461.74","83,907.28",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1200 CST.MX,true, ,"1,096.80","83,802.24",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1300 CST.MX,true, ,"1,007.65","83,231.92",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1400 CST.MX,true, ,168.57,"79,174.12",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1500 CST.MX,true, ,58.417,"78,510.12",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1600 CST.MX,true, ,46.992,"79,055.43",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1700 CST.MX,true, ,52.589,"75,943.71",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1800 CST.MX,true, ,39.333,"78,035.90",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 1900 CST.MX,true, ,19.118,"76,114.75",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 2000 CST.MX,true, ,12.185,"72,036.83",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 2100 CST.MX,true, ,"1,316.40","94,728.20",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
05/01/2025 2200 CST.MX,true, ,"1,646.71","92,519.94",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
